order_id,klient,produkt,kategoria,miasto,ilosc,cena_jednostkowa,data_zamowienia,email,wartosc_zamowienia,rok,miesiac,nazwa_dnia,email_poprawny
1001,Jan Nowak,Mysz,akcesoria,Kraków,2,199.99,2025-06-13,brak_emaila,399.98,2025,6,Friday,False
1008,Piotr Wiśniewski,Laptop,elektronika,Poznań,3,199.99,2025-05-24,anna@gmail.com,599.97,2025,5,Saturday,True
1010,Anna Kowalska,Mysz,elektronika,Warszawa,1,199.99,2025-10-05,tomasz@interia.pl,199.99,2025,10,Sunday,True
1011,Tomasz Zieliński,Pendrive,elektronika,Wrocław,1,2999.0,2025-09-28,marta@gmail.com,2999.0,2025,9,Sunday,True
1013,Anna Kowalska,Mysz,akcesoria,Gdańsk,2,199.99,2025-05-23,anna@gmail.com,399.98,2025,5,Friday,True
1015,Magdalena Dąbrowska,Słuchawki,akcesoria,Warszawa,1,89.5,2025-04-06,marta@gmail.com,89.5,2025,4,Sunday,True
1016,Magdalena Dąbrowska,Webcam,elektronika,Poznań,2,89.5,2025-04-09,piotr.w@onet,179.0,2025,4,Wednesday,False
1017,Anna Kowalska,Monitor,akcesoria,Warszawa,1,2999.0,2025-02-23,anna@gmail.com,2999.0,2025,2,Sunday,True
1021,Anna Kowalska,Monitor,akcesoria,Poznań,5,199.99,2025-07-21,tomasz@interia.pl,999.95,2025,7,Monday,True
1026,Katarzyna Lewandowska,Laptop,akcesoria,Gdańsk,2,199.99,2025-10-13,brak_emaila,399.98,2025,10,Monday,False
1028,Magdalena Dąbrowska,Laptop,elektronika,Gdańsk,1,2999.0,2025-08-25,brak_emaila,2999.0,2025,8,Monday,False
1029,Anna Kowalska,Webcam,elektronika,Warszawa,1,89.5,2025-09-06,anna@gmail.com,89.5,2025,9,Saturday,True
1030,Magdalena Dąbrowska,Mysz,akcesoria,Łódź,1,2999.0,2025-09-22,JAN@WP.PL,2999.0,2025,9,Monday,True
1031,Krzysztof Kamiński,Laptop,akcesoria,Łódź,1,89.5,2025-09-06,JAN@WP.PL,89.5,2025,9,Saturday,True
1035,Krzysztof Kamiński,Mysz,akcesoria,Wrocław,2,89.5,2025-08-13,piotr.w@onet,179.0,2025,8,Wednesday,False
1036,Tomasz Zieliński,Mysz,elektronika,Łódź,1,199.99,2025-07-10,marta@gmail.com,199.99,2025,7,Thursday,True
1038,Anna Kowalska,Klawiatura,akcesoria,Gdańsk,2,199.99,2025-01-28,tomasz@interia.pl,399.98,2025,1,Tuesday,True
1041,Magdalena Dąbrowska,Laptop,elektronika,Kraków,1,2999.0,2025-07-23,marta@gmail.com,2999.0,2025,7,Wednesday,True
1042,Piotr Wiśniewski,Mysz,akcesoria,Kraków,2,89.5,2025-02-06,krzysztof.k@gmail.com,179.0,2025,2,Thursday,True
1043,Tomasz Zieliński,Klawiatura,elektronika,Warszawa,1,89.5,2025-10-16,krzysztof.k@gmail.com,89.5,2025,10,Thursday,True
1049,Anna Kowalska,Monitor,akcesoria,Poznań,5,199.99,2025-09-30,JAN@WP.PL,999.95,2025,9,Tuesday,True
1050,Anna Kowalska,Laptop,akcesoria,Wrocław,5,2999.0,2025-08-21,piotr.w@onet,14995.0,2025,8,Thursday,False
1052,Krzysztof Kamiński,Monitor,akcesoria,Warszawa,1,199.99,2025-06-12,marta@gmail.com,199.99,2025,6,Thursday,True
1053,Katarzyna Lewandowska,Słuchawki,elektronika,Gdańsk,2,199.99,2025-03-27,anna@gmail.com,399.98,2025,3,Thursday,True
1057,Krzysztof Kamiński,Monitor,elektronika,Warszawa,2,2999.0,2025-12-06,JAN@WP.PL,5998.0,2025,12,Saturday,True
1058,Katarzyna Lewandowska,Mysz,akcesoria,Kraków,1,199.99,2025-04-02,JAN@WP.PL,199.99,2025,4,Wednesday,True
1059,Magdalena Dąbrowska,Klawiatura,akcesoria,Gdańsk,1,2999.0,2025-07-09,marta@gmail.com,2999.0,2025,7,Wednesday,True
1060,Krzysztof Kamiński,Laptop,elektronika,Warszawa,1,89.5,2025-05-22,tomasz@interia.pl,89.5,2025,5,Thursday,True
1061,Anna Kowalska,Pendrive,elektronika,Kraków,1,2999.0,2025-03-16,brak,2999.0,2025,3,Sunday,False
1072,Tomasz Zieliński,Mysz,akcesoria,Kraków,2,2999.0,2025-02-27,anna@gmail.com,5998.0,2025,2,Thursday,True
1073,Anna Kowalska,Mysz,elektronika,Gdańsk,2,89.5,2025-08-26,anna@gmail.com,179.0,2025,8,Tuesday,True
1080,Anna Kowalska,Monitor,elektronika,Warszawa,1,2999.0,2025-10-04,piotr.w@onet,2999.0,2025,10,Saturday,False
1081,Anna Kowalska,Laptop,akcesoria,Wrocław,1,2999.0,2025-08-18,tomasz@interia.pl,2999.0,2025,8,Monday,True
1086,Anna Kowalska,Słuchawki,elektronika,Wrocław,1,89.5,2025-04-30,anna@gmail.com,89.5,2025,4,Wednesday,True
1089,Piotr Wiśniewski,Pendrive,elektronika,Wrocław,1,89.5,2025-09-21,JAN@WP.PL,89.5,2025,9,Sunday,True
1090,Krzysztof Kamiński,Webcam,akcesoria,Wrocław,3,2999.0,2025-02-28,brak_emaila,8997.0,2025,2,Friday,False
1093,Tomasz Zieliński,Monitor,akcesoria,Gdańsk,5,199.99,2025-03-08,JAN@WP.PL,999.95,2025,3,Saturday,True
1099,Marta Wójcik,Mysz,akcesoria,Warszawa,3,89.5,2025-11-05,piotr.w@onet,268.5,2025,11,Wednesday,False
1101,Anna Kowalska,Mysz,akcesoria,Gdańsk,1,199.99,2025-04-05,tomasz@interia.pl,199.99,2025,4,Saturday,True
1103,Anna Kowalska,Laptop,elektronika,Kraków,1,89.5,2025-03-17,brak_emaila,89.5,2025,3,Monday,False
1107,Anna Kowalska,Pendrive,akcesoria,Warszawa,1,2999.0,2025-05-06,anna@gmail.com,2999.0,2025,5,Tuesday,True
1108,Anna Kowalska,Laptop,akcesoria,Kraków,2,199.99,2025-02-23,krzysztof.k@gmail.com,399.98,2025,2,Sunday,True
1115,Anna Kowalska,Laptop,akcesoria,Łódź,1,2999.0,2025-10-04,JAN@WP.PL,2999.0,2025,10,Saturday,True
1116,Piotr Wiśniewski,Mysz,elektronika,Warszawa,1,89.5,2025-01-10,anna@gmail.com,89.5,2025,1,Friday,True
1118,Anna Kowalska,Pendrive,akcesoria,Kraków,1,2999.0,2025-04-11,tomasz@interia.pl,2999.0,2025,4,Friday,True
1122,Magdalena Dąbrowska,Monitor,akcesoria,Warszawa,2,89.5,2025-06-02,krzysztof.k@gmail.com,179.0,2025,6,Monday,True
1125,Jan Nowak,Mysz,akcesoria,Kraków,2,199.99,2025-06-01,marta@gmail.com,399.98,2025,6,Sunday,True
1126,Anna Kowalska,Mysz,elektronika,Wrocław,1,199.99,2025-06-21,anna@gmail.com,199.99,2025,6,Saturday,True
